;Country.Region;Province.State;deaths;date;Max(jhudata_deaths_date.deaths)
1;Afghanistan;;5;12/29/20;15512
2;Albania;;6;12/29/20;15512
3;Algeria;;8;12/29/20;15512
4;Andorra;;1;12/29/20;15512
5;Argentina;;150;12/29/20;15512
6;Armenia;;22;12/29/20;15512
7;Austria;;128;12/29/20;15512
8;Azerbaijan;;37;12/29/20;15512
9;Bangladesh;;30;12/29/20;15512
10;Belarus;;10;12/29/20;15512
11;Belgium;;127;12/29/20;15512
12;Belize;;5;12/29/20;15512
13;Bolivia;;29;12/29/20;15512
14;Bosnia and Herzegovina;;82;12/29/20;15512
15;Brazil;;1111;12/29/20;15512
16;Bulgaria;;154;12/29/20;15512
17;Burkina Faso;;4;12/29/20;15512
18;Burma;;19;12/29/20;15512
19;Canada; ;218;12/29/20;15512
20;Chile;;45;12/29/20;15512
21;China;Hong Kong;2;12/29/20;15512
22;Colombia;;246;12/29/20;15512
23;Comoros;;2;12/29/20;15512
24;Congo (Kinshasa);;5;12/29/20;15512
25;Costa Rica;;12;12/29/20;15512
26;Croatia;;56;12/29/20;15512
27;Cyprus;;4;12/29/20;15512
28;Czechia;;150;12/29/20;15512
29;Denmark;;22;12/29/20;15512
30;Dominican Republic;;1;12/29/20;15512
31;Ecuador;;7;12/29/20;15512
32;Egypt;;54;12/29/20;15512
33;Estonia;;8;12/29/20;15512
34;Eswatini;;8;12/29/20;15512
35;Ethiopia;;1;12/29/20;15512
36;Finland;;4;12/29/20;15512
37;France;;968;12/29/20;15512
38;France;Mayotte;1;12/29/20;15512
39;Gambia;;1;12/29/20;15512
40;Georgia;;25;12/29/20;15512
41;Germany;;1122;12/29/20;15512
42;Ghana;;2;12/29/20;15512
43;Greece;;58;12/29/20;15512
44;Guatemala;;8;12/29/20;15512
45;Honduras;;45;12/29/20;15512
46;Hungary;;131;12/29/20;15512
47;Iceland;;1;12/29/20;15512
48;India;;286;12/29/20;15512
49;Indonesia;;251;12/29/20;15512
50;Iran;;132;12/29/20;15512
51;Iraq;;9;12/29/20;15512
52;Ireland;;8;12/29/20;15512
53;Israel;;36;12/29/20;15512
54;Italy;;659;12/29/20;15512
55;Japan;;44;12/29/20;15512
56;Jordan;;23;12/29/20;15512
57;Kazakhstan;;71;12/29/20;15512
58;Kenya;;1;12/29/20;15512
59;Korea, South;;20;12/29/20;15512
60;Kosovo;;8;12/29/20;15512
61;Kyrgyzstan;;4;12/29/20;15512
62;Latvia;;25;12/29/20;15512
63;Lebanon;;21;12/29/20;15512
64;Libya;;4;12/29/20;15512
65;Liechtenstein;;3;12/29/20;15512
66;Lithuania;;78;12/29/20;15512
67;Luxembourg;;2;12/29/20;15512
68;Malaysia;;2;12/29/20;15512
69;Mali;;6;12/29/20;15512
70;Mauritania;;4;12/29/20;15512
71;Mexico;;990;12/29/20;15512
72;Moldova;;25;12/29/20;15512
73;Mongolia;;1;12/29/20;15512
74;Montenegro;;2;12/29/20;15512
75;Morocco;;42;12/29/20;15512
76;Namibia;;2;12/29/20;15512
77;Nepal;;8;12/29/20;15512
78;Netherlands;;170;12/29/20;15512
79;Nicaragua;;1;12/29/20;15512
80;Niger;;3;12/29/20;15512
81;Nigeria;;3;12/29/20;15512
82;North Macedonia;;17;12/29/20;15512
83;Norway;;4;12/29/20;15512
84;Oman;;2;12/29/20;15512
85;Pakistan;;55;12/29/20;15512
86;Panama;;41;12/29/20;15512
87;Paraguay;;18;12/29/20;15512
88;Peru;;51;12/29/20;15512
89;Philippines;;38;12/29/20;15512
90;Poland;;307;12/29/20;15512
91;Portugal;;74;12/29/20;15512
92;Qatar;;1;12/29/20;15512
93;Romania;;135;12/29/20;15512
94;Russia;;548;12/29/20;15512
95;Rwanda;;4;12/29/20;15512
96;San Marino;;2;12/29/20;15512
97;Saudi Arabia;;8;12/29/20;15512
98;Senegal;;5;12/29/20;15512
99;Serbia;;46;12/29/20;15512
100;Slovakia;;104;12/29/20;15512
101;Slovenia;;36;12/29/20;15512
102;South Africa;;497;12/29/20;15512
103;South Sudan;;1;12/29/20;15512
104;Spain;;320;12/29/20;15512
105;Sri Lanka;;1;12/29/20;15512
106;Sweden;;205;12/29/20;15512
107;Switzerland;;131;12/29/20;15512
108;Syria;;10;12/29/20;15512
109;Thailand;;1;12/29/20;15512
110;Tunisia;;52;12/29/20;15512
111;Turkey;;253;12/29/20;15512
112;Uganda;;2;12/29/20;15512
113;Ukraine;;246;12/29/20;15512
114;United Arab Emirates;;2;12/29/20;15512
115;United Kingdom;;458;12/29/20;15512
116;Uruguay;;8;12/29/20;15512
117;US;;3719;12/29/20;15512
118;Venezuela;;3;12/29/20;15512
119;West Bank and Gaza;;19;12/29/20;15512
120;Yemen;;3;12/29/20;15512
121;Zambia;;1;12/29/20;15512
122;Zimbabwe;;5;12/29/20;15512
