;ID;Level;ISO1_3N;ISO1_3C;ISO1_2C;ISO2;ISO2_UID;FIPS;NUTS;AGS;IBGE;ZCTA;Longitude;Latitude;Population;Admin;Admin0;Admin1;Admin2;Admin3;NameID;Date;Cases;Cases_New;Type;Age;Sex;Source
1;AD;Country;20;AND;AD;AD;AD;NA;AD;NA;NA;NA;1.52;42.51;77265;0;Andorra;;;;Andorra;29/12/2020;84;1;Deaths;Total;Total;JHU
2;AD;Country;20;AND;AD;AD;AD;NA;AD;NA;NA;NA;1.52;42.51;77265;0;Andorra;;;;Andorra;29/12/2020;84;1;Deaths;Total;Total;JRC
3;AE;Country;784;ARE;AE;AE;AE;NA;AE;NA;NA;NA;53.85;23.42;9890400;0;United Arab Emirates;;;;United Arab Emirates;29/12/2020;662;2;Deaths;Total;Total;JHU
4;AF;Country;4;AFG;AF;AF;AF;NA;AF;NA;NA;NA;67.71;33.94;38928341;0;Afghanistan;;;;Afghanistan;29/12/2020;2179;5;Deaths;Total;Total;JHU
5;AL;Country;8;ALB;AL;AL;AL;NA;AL;NA;NA;NA;20.17;41.15;2877800;0;Albania;;;;Albania;29/12/2020;1170;6;Deaths;Total;Total;JHU
6;AL;Country;8;ALB;AL;AL;AL;NA;AL;NA;NA;NA;20.17;41.15;2877800;0;Albania;;;;Albania;29/12/2020;1170;6;Deaths;Total;Total;JRC
7;AM;Country;51;ARM;AM;AM;AM;NA;AM;NA;NA;NA;45.04;40.07;2963234;0;Armenia;;;;Armenia;29/12/2020;2797;22;Deaths;Total;Total;JHU
8;AR;Country;32;ARG;AR;AR;AR;NA;AR;NA;NA;NA;-63.62;-38.42;45195777;0;Argentina;;;;Argentina;29/12/2020;43018;150;Deaths;Total;Total;JHU
9;AT;Country;40;AUT;AT;AT;AT;NA;AT;NA;NA;NA;14.55;47.52;9006400;0;Austria;;;;Austria;29/12/2020;6059;128;Deaths;Total;Total;JHU
10;AT;Country;40;AUT;AT;AT;AT;NA;AT;NA;NA;NA;14.55;47.52;9006400;0;Austria;;;;Austria;29/12/2020;6155;44;Deaths;Total;Total;JRC
11;AZ;Country;31;AZE;AZ;AZ;AZ;NA;AZ;NA;NA;NA;47.58;40.14;10139175;0;Azerbaijan;;;;Azerbaijan;29/12/2020;2575;37;Deaths;Total;Total;JHU
12;BA;Country;70;BIH;BA;BA;BA;NA;BA;NA;NA;NA;17.68;43.92;3280815;0;Bosnia and Herzegovina;;;;Bosnia and Herzegovina;29/12/2020;4024;82;Deaths;Total;Total;JHU
13;BA;Country;70;BIH;BA;BA;BA;NA;BA;NA;NA;NA;17.68;43.92;3280815;0;Bosnia and Herzegovina;;;;Bosnia and Herzegovina;29/12/2020;4024;48;Deaths;Total;Total;JRC
14;BD;Country;50;BGD;BD;BD;BD;NA;BD;NA;NA;NA;90.36;23.68;164689383;0;Bangladesh;;;;Bangladesh;29/12/2020;7509;30;Deaths;Total;Total;JHU
15;BE;Country;56;BEL;BE;BE;BE;NA;BE;NA;NA;NA;4.47;50.83;11589616;0;Belgium;;;;Belgium;29/12/2020;19361;127;Deaths;Total;Total;JHU
16;BE;Country;56;BEL;BE;BE;BE;NA;BE;NA;NA;NA;4.47;50.83;11589616;0;Belgium;;;;Belgium;29/12/2020;19361;127;Deaths;Total;Total;JRC
17;BEZZ;Province;56;BEL;BE;ZZ;BE-ZZ;NA;;NA;NA;NA;NA;NA;NA;1;Belgium;Unassigned;;;Unassigned, Belgium;29/12/2020;19361;127;Deaths;Total;Total;JHU
18;BF;Country;854;BFA;BF;BF;BF;NA;BF;NA;NA;NA;-1.56;12.24;20903278;0;Burkina Faso;;;;Burkina Faso;29/12/2020;82;4;Deaths;Total;Total;JHU
19;BG;Country;100;BGR;BG;BG;BG;NA;BG;NA;NA;NA;25.49;42.73;6948445;0;Bulgaria;;;;Bulgaria;29/12/2020;7405;154;Deaths;Total;Total;JHU
20;BG;Country;100;BGR;BG;BG;BG;NA;BG;NA;NA;NA;25.49;42.73;6948445;0;Bulgaria;;;;Bulgaria;29/12/2020;7251;87;Deaths;Total;Total;JRC
21;BO;Country;68;BOL;BO;BO;BO;NA;BO;NA;NA;NA;-63.59;-16.29;11673029;0;Bolivia;;;;Bolivia;29/12/2020;9135;29;Deaths;Total;Total;JHU
22;BR;Country;76;BRA;BR;BR;BR;NA;BR;NA;NA;NA;-51.93;-14.23;212559409;0;Brazil;;;;Brazil;29/12/2020;192681;1111;Deaths;Total;Total;JHU
23;BR;Country;76;BRA;BR;BR;BR;NA;BR;NA;NA;NA;-51.93;-14.23;212559409;0;Brazil;;;;Brazil;29/12/2020;192839;1051;Deaths;Total;Total;SES
24;BRAC;State;76;BRA;BR;AC;BR-AC;NA;;NA;NA;NA;-70.81;-9.02;881935;1;Brazil;Acre;;;Acre, Brazil;29/12/2020;791;2;Deaths;Total;Total;SES
