"","date","deaths"
"1","12/29/20",15512
"2","12/30/20",15080
"3","12/22/20",14456
"4","12/15/20",13965
"5","12/23/20",13577
"6","12/16/20",13549
"7","12/17/20",13236
"8","12/31/20",13098
"9","12/11/20",12891
"10","12/1/20",12827
"11","11/24/20",12754
"12","12/18/20",12630
"13","12/10/20",12624
"14","12/3/20",12482
"15","12/9/20",12481
"16","12/2/20",12407
"17","12/4/20",12395
"18","12/8/20",12274
"19","11/25/20",12060
"20","11/20/20",11825
"21","12/24/20",11625
"22","11/18/20",11311
"23","11/27/20",11279
"24","11/17/20",11084
"25","11/19/20",10953
"26","11/26/20",10746
"27","12/19/20",10656
"28","11/11/20",10403
"29","12/12/20",10220
"30","12/5/20",10195
"31","11/4/20",10185
"32","8/14/20",10124
"33","11/10/20",9992
"34","7/23/20",9905
"35","11/12/20",9739
"36","11/6/20",9613
"37","11/13/20",9563
"38","12/28/20",9438
"39","12/21/20",9392
"40","9/7/20",9363
"41","11/3/20",9342
"42","11/28/20",9138
"43","11/14/20",9004
"44","12/14/20",8972
"45","11/21/20",8807
"46","10/1/20",8699
"47","11/30/20",8674
"48","12/7/20",8499
"49","4/17/20",8365
"50","4/15/20",8350
"51","11/23/20",8323
"52","12/25/20",8321
"53","4/7/20",8231
"54","11/5/20",8009
"55","11/16/20",7853
"56","4/9/20",7746
"57","12/20/20",7680
"58","10/30/20",7563
"59","11/7/20",7544
"60","4/10/20",7390
"61","12/13/20",7387
"62","10/27/20",7371
"63","4/16/20",7278
"64","12/27/20",7238
"65","12/6/20",7202
"66","4/21/20",7180
"67","10/28/20",7137
"68","11/9/20",7119
"69","12/26/20",7098
"70","11/22/20",7058
"71","10/29/20",7056
"72","8/5/20",7005
"73","4/14/20",6966
"74","10/23/20",6951
"75","11/29/20",6950
"76","10/5/20",6925
"77","7/22/20",6924
"78","8/18/20",6882
"79","4/23/20",6827
"80","4/8/20",6749
"81","4/29/20",6726
"82","6/16/20",6722
